doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission,category,tags
chinh-sach-bao-mat,shopee_policy/legal/chinh-sach-bao-mat.md,CHÍNH SÁCH BẢO MẬT,https://help.shopee.vn/portal/4/article/77244,2026-08-03,not-stated,public-page,privacy_security,"bảo mật,quyền riêng tư,dữ liệu cá nhân,privacy,policy"
chinh-sach-cam-han-che-san-pham,shopee_policy/legal/chinh-sach-cam-han-che-san-pham.md,CHÍNH SÁCH CẤM/HẠN CHẾ SẢN PHẨM,https://help.shopee.vn/portal/4/article/77247,2026-08-04,"2025-04-28",public-page,seller_prohibited,"sản phẩm cấm,sản phẩm hạn chế,đăng bán,vi phạm,prohibited items,restricted products"
chinh-sach-tra-hang-va-hoan-tien,shopee_policy/legal/chinh-sach-tra-hang-va-hoan-tien.md,CHÍNH SÁCH TRẢ HÀNG VÀ HOÀN TIỀN,https://help.shopee.vn/portal/4/article/77265,2026-08-04,"2026-03-11",public-page,returns_refunds,"trả hàng,hoàn tiền,đổi trả,return,refund,chính sách"
chinh-sach-van-chuyen-shopee,shopee_policy/legal/chinh-sach-van-chuyen-shopee.md,CHÍNH SÁCH VẬN CHUYỂN SHOPEE,https://help.shopee.vn/portal/4/article/77484,2026-08-04,"2026-03-20",public-page,shipping,"vận chuyển,giao hàng,phí vận chuyển,đơn hàng,logistics"
dieu-khoan-dich-vu,shopee_policy/legal/dieu-khoan-dich-vu.md,ĐIỀU KHOẢN DỊCH VỤ,https://help.shopee.vn/portal/4/article/77243,2026-08-04,"2026-05-01",public-page,legal_policy,"điều khoản dịch vụ,terms of service,quyền và nghĩa vụ,pháp lý"
dieu-khoan-dich-vu-lap-dat,shopee_policy/legal/dieu-khoan-dich-vu-lap-dat.md,ĐIỀU KHOẢN VÀ ĐIỀU KIỆN DỊCH VỤ LẮP ĐẶT,https://help.shopee.vn/portal/4/article/171475,2026-08-04,"2026-07-15",public-page,installation_service,"lắp đặt,dịch vụ lắp đặt,installation,Nhà Cung Cấp"
dieu-khoan-dich-vu-shopee-mall,shopee_policy/legal/dieu-khoan-dich-vu-shopee-mall.md,ĐIỀU KHOẢN DỊCH VỤ SHOPEE MALL,https://help.shopee.vn/portal/4/article/77252,2026-08-04,"2026-05-08",public-page,shopee_mall,"mall,chính hãng,bảo hành,hoàn tiền,phí cố định"
dieu-khoan-su-dung-dich-vu-hien-thi,shopee_policy/legal/dieu-khoan-su-dung-dich-vu-hien-thi.md,ĐIỀU KHOẢN SỬ DỤNG DỊCH VỤ HIỂN THỊ,https://help.shopee.vn/portal/4/article/77245,2026-08-04,"2026-05-23",public-page,advertising_display,"hiển thị,quảng cáo,CPM,CPC,tìm kiếm,khám phá"
quy-che-hoat-dong-san-tmdt-shopee,shopee_policy/legal/quy-che-hoat-dong-san-tmdt-shopee.md,QUY CHẾ HOẠT ĐỘNG SÀN TMĐT SHOPEE.VN,https://help.shopee.vn/portal/4/article/77251,2026-08-04,"2025-01-03",public-page,platform_regulation,"quy chế,sàn TMĐT,hoạt động,quy định,thành viên"
quy-dinh-dang-ban-san-pham,shopee_policy/legal/quy-dinh-dang-ban-san-pham.md,QUY ĐỊNH VỀ ĐĂNG BÁN SẢN PHẨM TRÊN SHOPEE,https://help.shopee.vn/portal/4/article/77246,2026-08-04,"2024-08-14",public-page,seller_listing,"đăng bán,sản phẩm,quy định,listing,người bán,hình ảnh,mô tả"
quy-trinh-giai-quyet-tranh-chap,shopee_policy/legal/quy-trinh-giai-quyet-tranh-chap.md,QUY TRÌNH GIẢI QUYẾT TRANH CHẤP/ XỬ LÝ KHIẾU NẠI,https://help.shopee.vn/portal/4/article/77262,2026-08-04,"2024-03-15",public-page,dispute_resolution,"tranh chấp,khiếu nại,giải quyết,người tiêu dùng,trả hàng"
tra-hang-phuong-thuc-gui-hoan-tra,shopee_policy/legal/tra-hang-phuong-thuc-gui-hoan-tra.md,"[Trả hàng/ Hoàn tiền] Các phương thức gửi hàng hoàn trả và phí hoàn trả",https://help.shopee.vn/portal/4/article/189477,2026-08-03,not-stated,public-page,returns_methods,"gửi hàng hoàn,vận chuyển hoàn trả,phí hoàn trả,return shipping"
